KO	L1	L2	L3	L4
K02077	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Zinc/manganese transporter [mD:m00244]
K02075	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Zinc/manganese transporter [mD:m00244]
K02074	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Zinc/manganese transporter [mD:m00244]
K09815	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Zinc transporter [mD:m00242]
K09816	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Zinc transporter [mD:m00242]
K09817	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Zinc transporter [mD:m00242]
K06858	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Vitamin B12 transporter [mD:m00241]
K06073	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Vitamin B12 transporter [mD:m00241]
K06074	L1_Transporters	L2_ABC transporters	L3_Metallic cation, iron-siderophore and Vitamin B12	L4_Vitamin B12 transporter [mD:m00241]
K06258	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Protein transporters	L4_Vesicular neurotransmitter transporter (vnt) [tc:2.A.1.22]
K11959	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Urea transporter [mD:m00323]
K11960	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Urea transporter [mD:m00323]
K11961	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Urea transporter [mD:m00323]
K11962	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Urea transporter [mD:m00323]
K11963	L1_Transporters	L2_ABC transporters	L3_Phosphate and amino acid transporters	L4_Urea transporter [mD:m00323]
K06902	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Unknown transporters	L4_Unknown major facilitator-1 (UmF1) [tc:2.A.1.24]
K08219	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Unknown transporters	L4_Unknown major facilitator-1 (UmF1) [tc:2.A.1.24]
K02004	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Uncharacterized ABC transporter [mD:m00258]
K02003	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Uncharacterized ABC transporter [mD:m00258]
K10236	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Trehalose/maltose transporter [mD:m00204]
K10237	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Trehalose/maltose transporter [mD:m00204]
K10238	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Trehalose/maltose transporter [mD:m00204]
K10239	L1_Transporters	L2_ABC transporters	L3_Oligosaccharide and polyol transporters	L4_Trehalose/maltose transporter [mD:m00204]
K02777	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Trehalose-specific II component [mD:m00270]
K02817	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Trehalose-specific II component [mD:m00270]
K02818	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Trehalose-specific II component [mD:m00270]
K02819	L1_Transporters	L2_Phosphotransferase System (PTS)	L3_Enzyme I and HPr	L4_Trehalose-specific II component [mD:m00270]
K02064	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Thiamine transporter [mD:m00191]
K02063	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Thiamine transporter [mD:m00191]
K02062	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Thiamine transporter [mD:m00191]
K09692	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Teichoic acid transporter [mD:m00251]
K02051	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfonate/nitrate/taurine transporter [mD:m00188]
K02050	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfonate/nitrate/taurine transporter [mD:m00188]
K02049	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfonate/nitrate/taurine transporter [mD:m00188]
K09693	L1_Transporters	L2_ABC transporters	L3_ABC-2 type and other transporters	L4_Sulfonate/nitrate/taurine transporter [mD:m00188]
K02048	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfate transporter [mD:m00185]
K02046	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfate transporter [mD:m00185]
K02047	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfate transporter [mD:m00185]
K02045	L1_Transporters	L2_ABC transporters	L3_Mineral and organic ion transporters	L4_Sulfate transporter [mD:m00185]
K08137	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K02100	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08138	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K13854	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08139	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08141	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K06609	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K06610	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K07299	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K07593	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08142	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K07191	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08143	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08144	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K12201	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08145	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08146	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08147	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08148	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08149	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K08150	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K14258	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K03444	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar porter (sp) family [tc:2.A.1.1]
K03291	L1_Transporters	L2_Major Facilitator Superfamily (MFS)	L3_Sugar transporters	L4_Sugar efflux transporter (sEt) [tc:2.A.1.20]
